C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data     19/10/2021  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	As	Se	Br	Rb	Sr	Y	Zr	Rh	In	Sn	Sb	Ba	La	Ce	Pr	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000000.spe	53.56	6.92	1	0.010265	-0.008803	0.010128	0.075074	95910	1.67	146	981	4	67	9	987	9118	1175	0	10156	227	730	906	248450	811	493	733	426	0	124	0	34	2857	1996	594	1548	10	8	29	0	271	21	197	180	235	1127	2358	178	263	837	0	1551	1012	2299	94686	22065	0.173	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000001.spe	55.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	96310	1.62	84	1055	16	99	40	1020	9319	1189	29	10300	252	694	983	248612	731	514	890	307	0	0	0	24	2940	2081	571	1703	21	38	61	0	249	7	258	249	176	1377	2179	607	286	471	0	1655	998	1980	94366	21870	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000002.spe	57.56	6.94	1	0.010265	-0.008803	0.010128	0.075074	96089	1.59	137	997	50	95	54	1043	8910	1301	12	10300	190	699	951	245401	686	476	691	372	0	0	173	179	2962	2405	766	1439	18	34	47	0	379	0	160	223	216	1381	2263	400	315	657	0	1744	939	1990	95550	22072	0.175	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000003.spe	59.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	95866	1.62	151	973	22	73	34	1092	9339	1245	6	10454	166	637	924	245924	728	516	789	529	0	0	0	182	3205	2330	764	1640	13	0	115	0	148	36	286	251	174	1194	2131	426	307	771	0	1570	999	1867	95459	22497	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000004.spe	61.56	6.94	1	0.010265	-0.008803	0.010128	0.075074	96940	1.68	149	1052	51	52	48	1052	9550	1257	13	10560	240	659	907	249607	792	463	779	343	64	89	0	0	3157	2275	770	1316	20	10	85	20	292	28	219	277	164	1326	2294	245	141	704	0	1584	977	2117	95508	22330	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000005.spe	63.56	6.94	1	0.010265	-0.008803	0.010128	0.075074	95291	1.64	132	960	10	56	16	1089	8967	1182	0	10137	131	673	937	242233	667	551	863	398	23	0	107	112	3133	2134	692	1657	0	53	24	0	219	16	226	151	174	1314	2270	365	308	645	104	1355	1137	2393	96987	22264	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000006.spe	65.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	95479	1.64	136	1018	22	40	62	1085	9145	1229	21	10252	253	603	890	244688	623	436	801	386	0	65	0	90	2912	2229	788	1276	14	119	6	0	194	38	214	238	180	1205	2225	205	236	860	205	1628	1054	2062	95743	22071	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000007.spe	67.56	6.94	1	0.010265	-0.008803	0.010128	0.075074	97108	1.74	153	1011	21	74	0	1116	9035	1216	42	10338	177	673	941	254482	689	492	820	454	20	0	26	189	3112	2236	895	1255	23	132	0	8	250	20	189	250	194	1222	2131	425	248	524	0	1686	1093	1923	96536	22234	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000008.spe	69.56	6.94	1	0.010265	-0.008803	0.010128	0.075074	98368	1.74	148	967	64	59	30	1131	9104	1166	0	10052	135	728	876	261329	779	500	868	380	0	0	10	173	3028	2122	806	1236	25	19	66	7	236	63	261	222	162	1271	2164	430	266	688	0	1689	1051	2543	97164	22407	0.175	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000009.spe	71.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	95397	1.70	113	909	25	86	19	1171	8596	1198	6	9733	175	569	853	247401	642	542	692	284	36	0	132	19	2764	2012	447	1596	30	6	95	0	227	95	251	217	159	1234	1972	358	278	525	332	1493	939	2136	94623	21582	0.174	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000010.spe	73.56	6.92	1	0.010265	-0.008803	0.010128	0.075074	93747	1.59	99	897	23	41	32	1103	8525	1157	0	9567	258	656	849	238582	729	502	855	424	102	292	98	8	2913	1925	677	1123	0	28	30	0	278	51	204	193	160	1264	2248	39	378	657	0	1659	963	1580	95387	22455	0.173	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000011.spe	75.56	6.92	1	0.010265	-0.008803	0.010128	0.075074	94051	1.60	87	948	34	51	46	1038	8701	1178	0	9651	191	594	915	239734	702	512	755	382	0	0	46	61	3123	2141	753	1247	25	40	38	22	298	19	216	194	172	1172	2181	459	304	603	0	1535	903	1834	94497	21707	0.173	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000012.spe	77.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	90392	1.57	91	939	34	63	21	1101	8760	1240	0	9617	167	633	867	221017	760	524	843	406	0	0	0	0	3090	2237	777	1454	0	52	8	36	319	59	185	205	170	1078	2087	270	245	500	0	1174	1030	2515	93979	21388	0.172	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000013.spe	79.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	90995	1.62	145	901	26	87	24	1120	8976	1267	16	9712	197	650	874	221444	736	521	794	244	53	0	87	5	2839	2040	678	1139	28	38	37	0	380	47	107	203	208	1215	2055	228	185	587	166	1383	945	2026	95729	21925	0.172	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000014.spe	81.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	92400	1.69	133	956	0	54	58	1150	8633	1140	0	9425	173	741	935	234930	747	456	769	302	0	19	0	75	2917	2421	740	1098	13	76	34	36	314	24	220	182	157	1204	2136	285	397	535	0	1567	1001	2007	93150	21909	0.172	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000015.spe	83.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	98380	1.83	131	858	21	82	26	1156	8434	1126	0	9791	262	732	972	281505	651	486	571	270	0	160	117	0	2888	2097	788	1353	24	67	76	33	318	0	140	250	246	1223	2135	111	340	1032	50	1854	1051	2153	91543	21196	0.172	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000016.spe	85.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	97489	1.76	103	867	0	41	6	1140	8502	1145	0	9657	204	582	958	281457	641	447	767	289	0	246	133	93	3182	2064	552	1292	0	0	93	0	194	0	220	263	233	1138	2078	180	145	876	0	1702	1236	2170	90009	21288	0.170	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_18-62cm\XRF data\L000017.spe	87.56	6.93	1	0.010265	-0.008803	0.010128	0.075074	96596	1.67	144	953	33	60	50	1119	8593	1076	0	9543	156	576	941	279290	628	411	653	388	0	63	67	0	2849	1955	616	1383	7	0	35	39	300	46	241	275	97	1044	2053	203	360	863	139	1727	1175	2350	89594	21509	0.169	
