C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data     19/10/2021  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	As	Se	Br	Rb	Sr	Y	Zr	Rh	In	Sn	Sb	Ba	La	Ce	Pr	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000158.spe	892.01	6.24	1	0.010265	-0.008803	0.010128	0.075074	79717	1.55	234	2009	32	32	29	815	14043	1609	0	13400	423	721	1666	197144	775	623	1368	576	50	0	84	4	4973	3615	768	1836	22	203	0	31	606	22	225	314	202	1099	2300	644	293	361	0	1128	845	1998	72921	20743	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000159.spe	894.01	6.23	1	0.010265	-0.008803	0.010128	0.075074	79509	1.57	232	1819	7	63	42	902	13800	1617	8	13078	438	745	1741	202287	664	682	1185	483	88	6	27	0	4834	3454	903	2020	9	9	109	30	465	140	217	150	234	980	2142	422	351	395	0	1092	795	2041	69997	20442	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000160.spe	896.01	6.24	1	0.010265	-0.008803	0.010128	0.075074	79615	1.50	319	1822	49	45	38	858	14331	1752	45	13604	475	773	1657	194584	758	661	1328	556	54	206	31	49	4783	3660	864	1913	20	74	9	21	495	96	333	261	171	1081	2301	448	374	579	59	1182	815	2006	73236	20655	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000161.spe	898.01	6.24	1	0.010265	-0.008803	0.010128	0.075074	78729	1.55	297	1963	27	58	31	879	14524	1498	39	14392	393	711	1544	186677	714	520	1446	634	79	134	147	0	4651	3610	1025	1859	18	7	114	34	507	110	264	269	198	1084	2407	287	235	479	0	1449	781	1455	73444	21090	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000162.spe	900.01	6.24	1	0.010265	-0.008803	0.010128	0.075074	77904	1.54	244	1939	31	52	48	922	14229	1442	19	14156	352	767	1512	189652	593	537	1327	577	0	262	151	36	4592	3563	848	1891	14	53	120	9	435	111	289	221	158	925	2302	316	437	634	0	1155	818	1838	70899	20161	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000163.spe	902.01	6.24	1	0.010265	-0.008803	0.010128	0.075074	75890	1.48	279	1871	43	36	8	820	13289	1339	0	13693	517	708	1437	186277	708	435	1410	503	50	148	48	0	4679	3402	961	1725	19	134	22	0	437	29	278	214	132	1042	2200	239	458	550	0	1129	776	1815	70243	20112	0.154	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000164.spe	904.01	6.25	1	0.010265	-0.008803	0.010128	0.075074	78907	1.54	207	2036	38	63	56	881	14341	1506	37	14307	318	780	1519	196979	684	643	1532	542	35	0	90	0	4624	3691	932	2106	6	81	66	29	477	127	360	230	168	916	2327	445	334	612	0	1332	860	1550	71397	20936	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000165.spe	906.01	6.26	1	0.010265	-0.008803	0.010128	0.075074	80078	1.57	213	2009	5	65	65	934	14257	1599	20	13472	459	789	1655	202097	638	693	1464	629	0	251	0	14	4863	3710	1020	1975	17	110	9	43	549	153	244	248	200	891	2468	381	292	800	0	1311	860	1855	71123	20946	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000166.spe	908.01	6.26	1	0.010265	-0.008803	0.010128	0.075074	79127	1.64	231	2020	9	65	40	883	14390	1510	45	14218	406	780	1605	197432	728	550	1469	663	92	0	0	0	4732	3761	964	1848	12	72	28	7	423	123	284	220	199	989	2281	454	272	466	0	1341	870	1898	71116	20583	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000167.spe	910.01	6.26	1	0.010265	-0.008803	0.010128	0.075074	78739	1.48	287	2040	39	58	39	844	14251	1388	0	14306	505	792	1547	195325	666	449	1338	731	109	216	198	81	4592	3575	1086	2106	29	139	52	30	473	59	264	212	236	1040	2317	323	318	579	0	1306	870	1698	70924	20343	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000168.spe	912.01	6.26	1	0.010265	-0.008803	0.010128	0.075074	80195	1.55	254	1957	54	44	29	848	14140	1549	14	14255	400	808	1508	205236	700	542	1472	622	107	203	47	42	4709	3407	845	1798	10	142	0	31	512	100	312	233	175	898	2308	335	324	625	0	1436	907	1838	71363	20833	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000169.spe	914.01	6.26	1	0.010265	-0.008803	0.010128	0.075074	79702	1.57	219	1970	28	40	85	879	13949	1507	8	14018	419	820	1638	198418	705	570	1408	672	62	62	46	0	4882	3465	1073	1695	22	155	16	68	551	136	247	242	191	952	2361	323	290	635	0	1136	883	1948	72506	20985	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000170.spe	916.01	6.27	1	0.010265	-0.008803	0.010128	0.075074	81550	1.52	207	1902	29	70	35	836	14097	1473	24	13962	452	765	1648	211849	729	639	1545	572	0	258	102	21	4678	3559	978	1775	15	89	66	72	438	56	320	307	198	1085	2209	265	352	712	0	1522	957	1976	72443	20646	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000171.spe	918.01	6.28	1	0.010265	-0.008803	0.010128	0.075074	82378	1.60	245	1838	0	66	81	910	14031	1655	44	12832	529	765	1850	219961	721	741	1443	532	117	25	57	30	4841	3542	945	1485	0	153	39	33	610	85	275	172	125	1016	2038	537	280	457	0	1315	926	2186	71866	20186	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000172.spe	920.01	6.25	1	0.010265	-0.008803	0.010128	0.075074	81766	1.53	313	1906	47	68	58	815	14528	1519	24	13798	573	756	1686	211761	725	554	1425	531	0	74	47	0	4823	3702	1063	1972	16	120	35	37	487	147	280	210	168	1048	2362	322	209	713	0	1353	772	1931	72322	20619	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000173.spe	922.01	6.27	1	0.010265	-0.008803	0.010128	0.075074	79687	1.57	282	1846	14	33	23	893	14547	1783	46	13494	464	739	1604	200620	665	508	1464	567	0	125	36	31	4591	3580	883	1796	31	97	27	20	557	36	280	305	195	964	2371	415	464	334	0	1406	803	1677	71832	20700	0.157	
