Exported at 17/08/2021 13:38:26
Core ID:,MAYLE21-Loma-Suarez-18-62cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
9.0,9.0,1,9.000,05/08/2021 14:21:15,-4.612,6.546,1153965.744,11.774,7.8 YR 3.90/1.10,11.15, 11.26, 9.87,40.02, 3.33, 6.75,8.45, 8.42, 8.50, 8.52, 8.53, 8.54, 8.62, 8.70, 8.89, 9.03, 9.13, 9.19, 9.30, 9.37, 9.61, 9.86, 10.18, 10.40, 10.62, 10.96, 11.29, 11.59, 11.96, 12.37, 12.64, 12.91, 13.16, 13.41, 13.69, 13.97, 14.22, 14.45, 14.74, 15.21, 15.51, 15.86, 16.20, 16.47, 16.83, 
9.5,9.5,1,9.500,05/08/2021 14:21:33,-4.123,6.813,1153965.679,12.590,8.6 YR 4.00/1.10,11.91, 12.13, 10.72,41.42, 2.71, 6.64,8.71, 8.74, 8.90, 8.99, 9.08, 9.17, 9.30, 9.45, 9.63, 9.81, 9.92, 10.05, 10.06, 10.33, 10.53, 10.73, 10.97, 11.29, 11.62, 11.95, 12.22, 12.51, 12.85, 13.13, 13.37, 13.62, 13.87, 14.15, 14.42, 14.68, 14.87, 15.09, 15.35, 15.82, 16.07, 16.39, 16.70, 17.00, 17.32, 
10.0,10.0,1,10.000,05/08/2021 14:21:41,-4.088,7.007,1153965.682,11.016,9.0 YR 3.80/1.30,10.42, 10.52, 8.69,38.76, 3.24, 8.30,6.77, 6.79, 6.94, 7.03, 7.12, 7.22, 7.36, 7.52, 7.76, 7.94, 8.08, 8.15, 8.30, 8.44, 8.67, 8.96, 9.31, 9.63, 9.93, 10.28, 10.63, 10.97, 11.32, 11.65, 11.92, 12.18, 12.43, 12.71, 12.97, 13.27, 13.48, 13.70, 14.05, 14.42, 14.78, 15.09, 15.40, 15.72, 16.05, 
10.5,10.5,1,10.500,05/08/2021 14:21:59,-1.809,6.220,1153965.479,10.700,9.2 YR 3.70/1.50,10.12, 10.20, 8.19,38.20, 3.36, 9.02,6.29, 6.33, 6.46, 6.56, 6.64, 6.70, 6.88, 7.05, 7.28, 7.49, 7.63, 7.70, 7.83, 8.02, 8.26, 8.57, 8.91, 9.25, 9.62, 9.99, 10.34, 10.69, 11.05, 11.38, 11.64, 11.93, 12.18, 12.46, 12.72, 12.99, 13.21, 13.43, 13.75, 14.10, 14.48, 14.80, 15.09, 15.42, 15.73, 
11.0,11.0,1,11.000,05/08/2021 14:22:16,-3.761,6.548,1153965.149,9.884,8.8 YR 3.60/1.40,9.33, 9.38, 7.57,36.71, 3.50, 8.63,6.05, 6.05, 6.16, 6.20, 6.23, 6.32, 6.41, 6.54, 6.73, 6.91, 7.03, 7.13, 7.23, 7.39, 7.62, 7.87, 8.18, 8.50, 8.82, 9.14, 9.47, 9.81, 10.16, 10.47, 10.74, 10.99, 11.25, 11.55, 11.82, 12.12, 12.32, 12.56, 12.92, 13.30, 13.68, 14.04, 14.36, 14.73, 15.11, 
11.5,11.5,1,11.500,05/08/2021 14:22:33,-3.723,6.676,1153965.020,12.915,8.8 YR 4.10/1.20,12.23, 12.44, 10.75,41.90, 2.88, 7.39,9.12, 9.08, 9.14, 9.16, 9.19, 9.23, 9.28, 9.48, 9.67, 9.84, 9.93, 10.04, 10.09, 10.33, 10.59, 10.87, 11.18, 11.49, 11.86, 12.25, 12.60, 12.91, 13.25, 13.57, 13.82, 14.12, 14.32, 14.60, 14.86, 15.08, 15.32, 15.55, 15.80, 16.20, 16.49, 16.79, 17.06, 17.36, 17.66, 
12.0,12.0,1,12.000,05/08/2021 14:22:50,-1.889,7.403,1153964.888,13.003,9.6 YR 4.10/1.40,12.31, 12.51, 10.21,42.02, 2.93, 9.18,7.43, 7.51, 7.72, 7.91, 8.09, 8.26, 8.45, 8.76, 9.10, 9.34, 9.50, 9.63, 9.77, 9.99, 10.32, 10.71, 11.12, 11.49, 11.88, 12.29, 12.70, 13.06, 13.49, 13.85, 14.14, 14.38, 14.65, 14.91, 15.17, 15.44, 15.66, 15.86, 16.17, 16.43, 16.82, 17.07, 17.37, 17.64, 17.94, 
12.5,12.5,1,12.500,05/08/2021 14:23:08,-2.492,7.872,1153964.819,12.968,9.9 YR 4.10/1.60,12.27, 12.45, 9.77,41.92, 3.03, 10.32,7.04, 7.12, 7.33, 7.49, 7.65, 7.80, 8.04, 8.29, 8.67, 8.94, 9.12, 9.22, 9.43, 9.66, 10.02, 10.43, 10.91, 11.37, 11.82, 12.26, 12.68, 13.13, 13.54, 13.86, 14.17, 14.45, 14.71, 15.00, 15.27, 15.56, 15.77, 15.99, 16.30, 16.61, 16.97, 17.21, 17.54, 17.80, 18.09, 
13.0,13.0,1,13.000,05/08/2021 14:23:25,-3.612,7.805,1153964.885,13.121,9.5 YR 4.10/1.40,12.43, 12.64, 10.41,42.21, 2.89, 8.91,7.84, 7.91, 8.10, 8.25, 8.41, 8.54, 8.73, 8.94, 9.27, 9.52, 9.69, 9.79, 9.98, 10.16, 10.49, 10.85, 11.28, 11.64, 12.00, 12.41, 12.81, 13.19, 13.60, 13.93, 14.24, 14.49, 14.75, 15.00, 15.29, 15.50, 15.72, 15.97, 16.18, 16.51, 16.81, 17.04, 17.33, 17.56, 17.82, 
13.5,13.5,1,13.500,05/08/2021 14:23:42,-0.549,8.202,1153964.620,13.012,9.5 YR 4.10/1.50,12.32, 12.49, 10.04,41.98, 3.16, 9.60,7.84, 7.82, 7.98, 8.09, 8.14, 8.26, 8.43, 8.66, 8.94, 9.19, 9.33, 9.44, 9.59, 9.82, 10.14, 10.54, 10.97, 11.40, 11.85, 12.29, 12.70, 13.12, 13.52, 13.87, 14.18, 14.46, 14.72, 15.03, 15.28, 15.55, 15.76, 16.04, 16.30, 16.62, 16.96, 17.18, 17.49, 17.76, 18.01, 
