Exported at 17/08/2021 13:38:26
Core ID:,MAYLE21-Loma-Suarez-18-62cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
26.0,26.0,1,26.000,05/08/2021 14:30:20,-7.085,7.076,1153961.713,11.915,9.4 YR 3.90/0.90,11.28, 11.59, 10.53,40.56, 1.90, 5.71,8.50, 8.55, 8.70, 8.81, 8.87, 8.95, 9.10, 9.23, 9.47, 9.63, 9.77, 9.87, 9.99, 10.09, 10.32, 10.55, 10.79, 10.98, 11.19, 11.43, 11.65, 11.88, 12.17, 12.39, 12.57, 12.77, 12.93, 13.11, 13.29, 13.48, 13.64, 13.79, 13.99, 14.24, 14.42, 14.64, 14.80, 14.99, 15.20, 
26.5,26.5,1,26.500,05/08/2021 14:30:37,-7.684,7.142,1153961.581,14.292,7.5 YR 4.30/0.60,13.56, 13.96, 13.63,44.18, 1.85, 3.72,12.37, 12.29, 12.38, 12.35, 12.28, 12.25, 12.24, 12.30, 12.38, 12.48, 12.56, 12.62, 12.63, 12.76, 12.92, 13.05, 13.22, 13.39, 13.57, 13.80, 13.99, 14.18, 14.45, 14.66, 14.82, 15.06, 15.17, 15.38, 15.53, 15.74, 15.83, 16.01, 16.20, 16.43, 16.71, 16.86, 17.06, 17.24, 17.44, 
27.0,27.0,1,27.000,05/08/2021 14:30:54,-7.383,5.949,1153961.383,14.057,8.0 YR 4.20/0.60,13.35, 13.77, 13.44,43.91, 1.67, 3.71,11.70, 11.67, 11.85, 11.90, 11.86, 11.91, 11.96, 12.05, 12.18, 12.34, 12.40, 12.48, 12.52, 12.61, 12.78, 12.94, 13.14, 13.23, 13.36, 13.59, 13.79, 13.98, 14.24, 14.46, 14.62, 14.80, 14.91, 15.10, 15.20, 15.37, 15.50, 15.61, 15.81, 15.96, 16.15, 16.26, 16.45, 16.58, 16.68, 
27.5,27.5,1,27.500,05/08/2021 14:31:12,-8.662,5.494,1153961.247,13.727,8.4 YR 4.20/0.60,13.02, 13.46, 13.14,43.44, 1.53, 3.65,11.10, 11.17, 11.36, 11.46, 11.51, 11.58, 11.67, 11.75, 11.92, 12.03, 12.14, 12.20, 12.31, 12.37, 12.52, 12.67, 12.84, 12.95, 13.10, 13.32, 13.47, 13.63, 13.87, 14.07, 14.24, 14.41, 14.57, 14.69, 14.86, 15.00, 15.13, 15.22, 15.41, 15.60, 15.82, 15.97, 16.13, 16.29, 16.47, 
28.0,28.0,1,28.000,05/08/2021 14:31:29,-8.300,6.681,1153961.117,14.085,8.4 YR 4.30/0.70,13.36, 13.77, 13.29,43.91, 1.76, 4.07,12.00, 11.91, 12.01, 12.00, 11.92, 11.88, 11.91, 11.94, 12.05, 12.18, 12.26, 12.31, 12.35, 12.49, 12.64, 12.84, 13.03, 13.21, 13.41, 13.61, 13.80, 14.03, 14.27, 14.49, 14.65, 14.88, 14.98, 15.18, 15.33, 15.51, 15.61, 15.80, 15.92, 16.18, 16.30, 16.51, 16.61, 16.82, 17.00, 
28.5,28.5,1,28.500,05/08/2021 14:31:37,-7.669,6.082,1153961.182,11.179,8.8 YR 3.80/0.70,10.59, 10.91, 10.36,39.44, 1.63, 4.29,8.96, 8.97, 9.10, 9.09, 9.00, 9.07, 9.20, 9.25, 9.35, 9.48, 9.54, 9.63, 9.69, 9.85, 9.98, 10.14, 10.31, 10.45, 10.58, 10.78, 10.95, 11.09, 11.33, 11.52, 11.67, 11.81, 11.96, 12.11, 12.30, 12.33, 12.60, 12.61, 12.91, 13.02, 13.18, 13.38, 13.46, 13.72, 13.86, 
29.0,29.0,1,29.000,05/08/2021 14:31:55,-6.748,5.490,1153960.917,12.110,8.3 YR 4.00/0.80,11.47, 11.75, 10.95,40.81, 2.20, 4.93,10.08, 9.94, 10.00, 9.94, 9.78, 9.75, 9.80, 9.81, 9.91, 10.03, 10.08, 10.15, 10.21, 10.32, 10.47, 10.72, 10.96, 11.17, 11.34, 11.53, 11.76, 12.03, 12.28, 12.52, 12.71, 12.90, 13.11, 13.28, 13.54, 13.63, 13.90, 13.97, 14.29, 14.53, 14.72, 14.98, 15.14, 15.45, 15.68, 
29.5,29.5,1,29.500,05/08/2021 14:32:21,-7.916,5.352,1153960.921,9.622,8.4 YR 3.50/0.90,9.10, 9.26, 8.32,36.48, 2.55, 5.61,7.73, 7.59, 7.59, 7.51, 7.34, 7.29, 7.39, 7.44, 7.50, 7.62, 7.64, 7.71, 7.77, 7.94, 8.07, 8.26, 8.47, 8.66, 8.86, 9.08, 9.27, 9.51, 9.79, 10.01, 10.19, 10.40, 10.56, 10.79, 11.00, 11.12, 11.38, 11.48, 11.79, 12.01, 12.30, 12.52, 12.74, 13.08, 13.31, 
30.0,30.0,1,30.000,05/08/2021 14:32:47,-8.123,4.562,1153960.784,11.752,6.0 YR 3.90/0.50,11.14, 11.49, 11.53,40.39, 1.65, 2.62,11.93, 11.67, 11.56, 11.30, 11.04, 10.86, 10.68, 10.58, 10.53, 10.55, 10.56, 10.54, 10.55, 10.66, 10.70, 10.81, 10.90, 11.06, 11.26, 11.41, 11.56, 11.67, 11.82, 11.93, 12.04, 12.20, 12.33, 12.52, 12.61, 12.72, 12.92, 12.90, 13.28, 13.20, 13.56, 13.66, 13.72, 13.96, 14.11, 
30.5,30.5,1,30.500,05/08/2021 14:33:12,-7.761,4.830,1153960.718,13.989,6.4 YR 4.30/0.60,13.27, 13.63, 13.36,43.69, 2.08, 3.55,13.31, 13.00, 12.93, 12.75, 12.49, 12.28, 12.25, 12.17, 12.17, 12.24, 12.24, 12.28, 12.29, 12.38, 12.53, 12.66, 12.88, 13.06, 13.20, 13.47, 13.63, 13.89, 14.09, 14.34, 14.50, 14.72, 14.82, 15.09, 15.25, 15.41, 15.63, 15.74, 16.01, 16.30, 16.42, 16.75, 16.91, 17.07, 17.42, 
31.0,31.0,1,31.000,05/08/2021 14:33:30,-6.205,7.212,1153960.850,16.887,6.3 YR 4.60/0.60,16.00, 16.49, 16.41,47.62, 1.87, 3.24,16.71, 16.30, 16.14, 15.89, 15.54, 15.27, 15.15, 14.99, 14.96, 15.02, 15.04, 15.08, 15.04, 15.25, 15.36, 15.47, 15.63, 15.94, 16.15, 16.36, 16.50, 16.75, 16.98, 17.15, 17.35, 17.63, 17.70, 18.09, 18.13, 18.52, 18.49, 18.85, 19.01, 19.32, 19.65, 19.82, 20.09, 20.38, 20.57, 
31.5,31.5,1,31.500,05/08/2021 14:33:56,-7.526,5.947,1153960.656,12.323,8.0 YR 4.00/0.80,11.67, 11.96, 11.34,41.16, 2.15, 4.46,10.76, 10.60, 10.59, 10.47, 10.37, 10.26, 10.19, 10.25, 10.28, 10.36, 10.40, 10.51, 10.51, 10.64, 10.81, 10.97, 11.15, 11.35, 11.57, 11.81, 12.01, 12.23, 12.48, 12.71, 12.88, 13.06, 13.21, 13.44, 13.63, 13.83, 14.00, 14.14, 14.40, 14.66, 14.95, 15.16, 15.34, 15.63, 15.81, 
32.0,32.0,1,32.000,05/08/2021 14:34:22,-6.297,4.231,1153960.455,9.732,9.0 YR 3.60/1.20,9.19, 9.31, 7.89,36.57, 2.90, 7.27,6.53, 6.53, 6.60, 6.63, 6.72, 6.66, 6.75, 6.91, 7.06, 7.19, 7.30, 7.37, 7.52, 7.64, 7.83, 8.10, 8.34, 8.56, 8.83, 9.11, 9.37, 9.62, 9.97, 10.23, 10.40, 10.70, 10.88, 11.13, 11.37, 11.60, 11.77, 12.05, 12.28, 12.61, 12.98, 13.18, 13.49, 13.77, 14.07, 
32.5,32.5,1,32.500,05/08/2021 14:34:48,-5.501,3.972,1153960.387,11.679,7.9 YR 3.90/1.00,11.06, 11.24, 10.20,39.99, 2.76, 5.68,9.27, 9.19, 9.27, 9.19, 9.10, 9.12, 9.09, 9.08, 9.24, 9.33, 9.41, 9.42, 9.58, 9.66, 9.80, 10.02, 10.32, 10.53, 10.73, 11.00, 11.29, 11.57, 11.85, 12.15, 12.35, 12.57, 12.82, 13.10, 13.25, 13.55, 13.73, 13.92, 14.25, 14.47, 14.77, 15.04, 15.28, 15.59, 15.83, 
33.0,33.0,1,33.000,05/08/2021 14:35:13,-5.228,5.560,1153960.386,14.043,7.7 YR 4.20/0.70,13.32, 13.68, 13.22,43.77, 2.03, 4.02,11.94, 11.85, 11.94, 11.95, 11.90, 11.83, 11.86, 11.93, 12.01, 12.11, 12.19, 12.22, 12.28, 12.34, 12.55, 12.71, 12.92, 13.06, 13.23, 13.49, 13.71, 13.96, 14.22, 14.39, 14.62, 14.83, 14.99, 15.17, 15.40, 15.59, 15.65, 15.95, 16.07, 16.41, 16.75, 16.84, 17.17, 17.45, 17.55, 
33.5,33.5,1,33.500,05/08/2021 14:35:31,-5.901,8.002,1153960.326,12.322,8.4 YR 4.00/0.80,11.68, 11.98, 11.28,41.18, 2.09, 4.65,9.65, 9.62, 9.74, 9.82, 9.84, 9.89, 9.99, 10.09, 10.20, 10.34, 10.42, 10.50, 10.53, 10.64, 10.83, 11.00, 11.19, 11.37, 11.58, 11.80, 12.01, 12.23, 12.51, 12.70, 12.93, 13.12, 13.26, 13.45, 13.69, 13.83, 13.98, 14.18, 14.31, 14.72, 14.91, 15.13, 15.43, 15.58, 15.87, 
34.0,34.0,1,34.000,05/08/2021 14:35:57,-5.085,8.861,1153960.255,9.903,9.1 YR 3.60/1.00,9.35, 9.52, 8.31,36.97, 2.52, 6.49,6.79, 6.79, 6.87, 6.95, 7.04, 7.04, 7.15, 7.30, 7.45, 7.60, 7.69, 7.77, 7.87, 8.00, 8.22, 8.42, 8.67, 8.85, 9.08, 9.35, 9.57, 9.82, 10.13, 10.32, 10.54, 10.74, 10.93, 11.16, 11.37, 11.60, 11.75, 11.98, 12.21, 12.57, 12.88, 13.16, 13.44, 13.74, 14.02, 
34.5,34.5,1,34.500,05/08/2021 14:36:23,-4.396,9.853,1153960.126,12.924,8.7 YR 4.10/0.90,12.25, 12.56, 11.53,42.09, 2.19, 5.54,9.74, 9.72, 9.84, 9.94, 9.98, 10.01, 10.09, 10.22, 10.39, 10.55, 10.67, 10.75, 10.83, 10.98, 11.17, 11.40, 11.65, 11.87, 12.08, 12.35, 12.63, 12.91, 13.21, 13.45, 13.66, 13.87, 14.01, 14.23, 14.40, 14.60, 14.79, 14.98, 15.14, 15.42, 15.63, 15.78, 16.05, 16.25, 16.40, 
35.0,35.0,1,35.000,05/08/2021 14:36:48,-5.259,9.325,1153959.995,12.888,8.6 YR 4.10/0.80,12.22, 12.55, 11.74,42.08, 1.98, 4.94,10.16, 10.14, 10.26, 10.29, 10.30, 10.34, 10.37, 10.47, 10.62, 10.74, 10.85, 10.92, 10.98, 11.12, 11.32, 11.52, 11.74, 11.92, 12.13, 12.38, 12.61, 12.86, 13.12, 13.34, 13.53, 13.72, 13.88, 14.06, 14.23, 14.44, 14.58, 14.73, 14.94, 15.18, 15.35, 15.54, 15.74, 15.95, 16.10, 
35.5,35.5,1,35.500,05/08/2021 14:37:14,-4.260,10.116,1153959.927,11.988,9.0 YR 4.00/0.70,11.36, 11.70, 11.01,40.73, 1.74, 4.65,9.45, 9.46, 9.59, 9.62, 9.64, 9.66, 9.68, 9.81, 9.94, 10.08, 10.16, 10.25, 10.30, 10.41, 10.63, 10.80, 11.00, 11.16, 11.32, 11.54, 11.78, 11.95, 12.19, 12.39, 12.53, 12.72, 12.85, 13.01, 13.18, 13.31, 13.47, 13.64, 13.81, 14.00, 14.16, 14.36, 14.50, 14.70, 14.88, 
36.0,36.0,1,36.000,05/08/2021 14:37:32,-4.234,11.576,1153959.857,10.584,9.2 YR 3.70/0.80,10.01, 10.31, 9.62,38.40, 1.69, 4.70,8.14, 8.15, 8.30, 8.35, 8.35, 8.44, 8.49, 8.57, 8.67, 8.80, 8.89, 8.95, 9.04, 9.15, 9.30, 9.46, 9.67, 9.85, 10.00, 10.18, 10.38, 10.55, 10.73, 10.92, 11.06, 11.22, 11.37, 11.56, 11.67, 11.83, 11.96, 12.12, 12.29, 12.49, 12.63, 12.81, 12.99, 13.17, 13.34, 
36.5,36.5,1,36.500,05/08/2021 14:37:58,-4.139,11.379,1153959.925,11.609,9.2 YR 3.90/0.80,10.99, 11.30, 10.39,40.07, 1.90, 5.30,8.68, 8.69, 8.84, 8.93, 8.96, 9.01, 9.11, 9.19, 9.35, 9.50, 9.61, 9.68, 9.78, 9.94, 10.07, 10.28, 10.53, 10.72, 10.90, 11.15, 11.37, 11.59, 11.83, 12.06, 12.19, 12.40, 12.54, 12.75, 12.87, 13.08, 13.20, 13.39, 13.57, 13.77, 13.96, 14.16, 14.30, 14.49, 14.72, 
37.0,37.0,1,37.000,05/08/2021 14:38:24,-6.386,9.456,1153959.862,11.106,9.0 YR 3.80/0.80,10.52, 10.82, 10.10,39.27, 1.85, 4.76,8.61, 8.62, 8.75, 8.80, 8.80, 8.82, 8.91, 9.00, 9.11, 9.25, 9.34, 9.40, 9.46, 9.58, 9.74, 9.91, 10.11, 10.27, 10.47, 10.68, 10.88, 11.08, 11.30, 11.50, 11.65, 11.81, 11.96, 12.10, 12.28, 12.41, 12.57, 12.72, 12.88, 13.10, 13.26, 13.42, 13.56, 13.75, 13.98, 
37.5,37.5,1,37.500,05/08/2021 14:38:49,-0.993,8.397,1153959.662,10.428,8.9 YR 3.70/0.80,9.88, 10.14, 9.41,38.10, 1.90, 4.86,7.86, 7.89, 8.04, 8.11, 8.13, 8.14, 8.29, 8.35, 8.50, 8.61, 8.70, 8.74, 8.84, 8.92, 9.07, 9.25, 9.46, 9.63, 9.80, 9.99, 10.20, 10.38, 10.62, 10.82, 10.95, 11.11, 11.27, 11.41, 11.58, 11.72, 11.86, 12.03, 12.19, 12.41, 12.54, 12.72, 12.84, 13.01, 13.26, 
38.0,38.0,1,38.000,05/08/2021 14:39:07,-2.320,8.395,1153959.663,10.298,9.0 YR 3.70/0.80,9.74, 9.99, 9.20,37.82, 2.00, 5.03,7.70, 7.70, 7.85, 7.91, 7.90, 7.97, 8.07, 8.18, 8.29, 8.44, 8.50, 8.57, 8.62, 8.74, 8.92, 9.08, 9.28, 9.46, 9.64, 9.85, 10.03, 10.23, 10.46, 10.67, 10.80, 10.99, 11.15, 11.31, 11.53, 11.63, 11.85, 12.04, 12.19, 12.46, 12.59, 12.81, 12.98, 13.19, 13.42, 
38.5,38.5,1,38.500,05/08/2021 14:39:33,-3.222,9.127,1153959.263,11.726,8.3 YR 3.90/0.70,11.10, 11.41, 10.88,40.27, 1.88, 4.21,9.50, 9.45, 9.56, 9.63, 9.59, 9.60, 9.66, 9.74, 9.85, 9.96, 10.03, 10.12, 10.16, 10.25, 10.41, 10.58, 10.76, 10.90, 11.05, 11.24, 11.43, 11.62, 11.85, 12.07, 12.23, 12.40, 12.55, 12.72, 12.90, 13.09, 13.24, 13.43, 13.60, 13.85, 14.03, 14.24, 14.44, 14.60, 14.83, 
39.0,39.0,1,39.000,05/08/2021 14:39:59,-3.958,9.790,1153959.395,11.715,8.5 YR 3.90/0.70,11.09, 11.42, 10.95,40.28, 1.73, 4.04,9.41, 9.43, 9.59, 9.65, 9.64, 9.65, 9.74, 9.78, 9.90, 10.03, 10.11, 10.17, 10.23, 10.34, 10.46, 10.61, 10.79, 10.94, 11.08, 11.27, 11.46, 11.63, 11.83, 12.02, 12.16, 12.35, 12.50, 12.66, 12.84, 12.99, 13.17, 13.30, 13.54, 13.70, 13.91, 14.05, 14.25, 14.40, 14.59, 
39.5,39.5,1,39.500,05/08/2021 14:40:24,-4.479,10.909,1153959.135,11.652,7.2 YR 3.90/0.50,11.05, 11.40, 11.40,40.25, 1.54, 2.72,10.41, 10.37, 10.46, 10.45, 10.38, 10.32, 10.34, 10.32, 10.38, 10.45, 10.49, 10.53, 10.55, 10.61, 10.70, 10.80, 10.94, 11.02, 11.09, 11.26, 11.41, 11.54, 11.72, 11.87, 11.99, 12.12, 12.25, 12.38, 12.54, 12.67, 12.79, 12.93, 13.10, 13.25, 13.42, 13.58, 13.72, 13.87, 14.04, 
40.0,40.0,1,40.000,05/08/2021 14:40:50,-2.282,10.909,1153959.265,11.866,7.6 YR 3.90/0.50,11.25, 11.61, 11.52,40.59, 1.55, 2.97,10.41, 10.40, 10.52, 10.51, 10.44, 10.43, 10.39, 10.42, 10.48, 10.55, 10.61, 10.65, 10.68, 10.75, 10.85, 10.97, 11.10, 11.20, 11.31, 11.48, 11.61, 11.76, 11.93, 12.11, 12.22, 12.38, 12.51, 12.64, 12.79, 12.93, 13.06, 13.22, 13.36, 13.58, 13.70, 13.86, 14.02, 14.14, 14.31, 
40.5,40.5,1,40.500,05/08/2021 14:41:08,-3.796,10.116,1153959.132,11.421,8.1 YR 3.90/0.60,10.81, 11.16, 10.93,39.84, 1.54, 3.34,9.76, 9.73, 9.83, 9.88, 9.82, 9.80, 9.82, 9.84, 9.91, 10.00, 10.07, 10.12, 10.18, 10.25, 10.36, 10.49, 10.65, 10.77, 10.87, 11.01, 11.15, 11.31, 11.49, 11.66, 11.79, 11.93, 12.05, 12.25, 12.39, 12.52, 12.69, 12.80, 13.00, 13.20, 13.37, 13.52, 13.66, 13.83, 13.99, 
41.0,41.0,1,41.000,05/08/2021 14:41:34,-2.419,9.522,1153959.069,12.323,8.8 YR 4.00/0.70,11.67, 12.02, 11.37,41.24, 1.75, 4.51,9.74, 9.74, 9.88, 9.95, 9.95, 10.00, 10.04, 10.15, 10.27, 10.40, 10.49, 10.60, 10.64, 10.78, 10.95, 11.12, 11.30, 11.47, 11.66, 11.87, 12.07, 12.26, 12.49, 12.70, 12.85, 13.04, 13.19, 13.36, 13.54, 13.69, 13.86, 14.03, 14.22, 14.45, 14.64, 14.81, 14.97, 15.15, 15.35, 
41.5,41.5,1,41.500,05/08/2021 14:42:00,-3.914,8.529,1153959.000,12.448,8.9 YR 4.00/0.70,11.78, 12.14, 11.51,41.44, 1.71, 4.48,9.76, 9.77, 9.94, 10.01, 10.03, 10.06, 10.15, 10.26, 10.39, 10.53, 10.64, 10.70, 10.80, 10.91, 11.05, 11.25, 11.43, 11.61, 11.80, 12.00, 12.19, 12.38, 12.61, 12.81, 12.98, 13.13, 13.31, 13.48, 13.68, 13.81, 13.99, 14.18, 14.36, 14.60, 14.76, 14.95, 15.14, 15.31, 15.56, 
42.0,42.0,1,42.000,05/08/2021 14:42:25,-5.069,8.595,1153959.066,12.320,8.4 YR 4.00/0.60,11.67, 12.04, 11.64,41.27, 1.62, 3.84,10.03, 10.05, 10.21, 10.27, 10.30, 10.35, 10.38, 10.45, 10.54, 10.66, 10.74, 10.79, 10.82, 10.96, 11.10, 11.23, 11.37, 11.56, 11.74, 11.92, 12.08, 12.24, 12.44, 12.59, 12.76, 12.93, 13.08, 13.27, 13.42, 13.58, 13.73, 13.86, 14.06, 14.25, 14.46, 14.62, 14.81, 14.96, 15.17, 
42.5,42.5,1,42.500,05/08/2021 14:42:51,-4.615,7.672,1153958.936,10.424,8.8 YR 3.70/0.60,9.86, 10.18, 9.79,38.16, 1.52, 3.78,8.64, 8.60, 8.68, 8.69, 8.66, 8.64, 8.73, 8.78, 8.87, 8.96, 9.01, 9.09, 9.13, 9.26, 9.35, 9.48, 9.63, 9.77, 9.91, 10.08, 10.20, 10.36, 10.54, 10.68, 10.79, 10.95, 11.06, 11.25, 11.35, 11.50, 11.65, 11.75, 11.98, 12.07, 12.30, 12.36, 12.52, 12.65, 12.84, 
43.0,43.0,1,43.000,05/08/2021 14:43:09,-3.012,7.476,1153958.999,11.290,7.8 YR 3.90/0.50,10.69, 11.06, 11.04,39.68, 1.37, 2.73,9.87, 9.88, 10.01, 10.01, 9.97, 9.95, 10.00, 9.98, 10.05, 10.12, 10.17, 10.19, 10.23, 10.33, 10.41, 10.48, 10.61, 10.72, 10.82, 10.93, 11.05, 11.21, 11.35, 11.47, 11.59, 11.71, 11.82, 11.99, 12.11, 12.25, 12.36, 12.51, 12.64, 12.82, 12.99, 13.14, 13.26, 13.44, 13.62, 
43.5,43.5,1,43.500,05/08/2021 14:43:35,-4.466,7.213,1153958.998,10.875,7.4 YR 3.80/0.40,10.30, 10.67, 10.85,39.02, 1.18, 2.16,9.97, 9.91, 10.01, 10.02, 9.93, 9.88, 9.88, 9.86, 9.90, 9.93, 9.98, 9.99, 10.02, 10.08, 10.14, 10.22, 10.30, 10.40, 10.49, 10.58, 10.67, 10.76, 10.90, 10.99, 11.07, 11.19, 11.32, 11.45, 11.54, 11.67, 11.78, 11.91, 12.07, 12.17, 12.35, 12.45, 12.57, 12.69, 12.85, 
44.0,44.0,1,44.000,05/08/2021 14:44:00,-5.802,7.407,1153958.803,9.648,8.8 YR 3.60/0.50,9.13, 9.45, 9.28,36.84, 1.25, 3.08,8.16, 8.16, 8.27, 8.29, 8.28, 8.28, 8.33, 8.37, 8.42, 8.50, 8.55, 8.60, 8.63, 8.72, 8.81, 8.90, 9.00, 9.15, 9.25, 9.37, 9.48, 9.59, 9.73, 9.83, 9.91, 10.06, 10.13, 10.29, 10.39, 10.51, 10.60, 10.74, 10.83, 11.04, 11.11, 11.28, 11.41, 11.51, 11.69, 
44.5,44.5,1,44.500,05/08/2021 14:44:26,-7.218,7.076,1153958.997,10.289,8.5 YR 3.70/0.50,9.74, 10.07, 9.88,37.96, 1.39, 3.15,8.59, 8.60, 8.74, 8.79, 8.81, 8.81, 8.83, 8.91, 8.96, 9.05, 9.12, 9.17, 9.21, 9.28, 9.37, 9.46, 9.60, 9.72, 9.83, 9.96, 10.06, 10.24, 10.40, 10.49, 10.59, 10.75, 10.83, 10.97, 11.12, 11.24, 11.31, 11.54, 11.59, 11.79, 11.95, 12.10, 12.20, 12.37, 12.54, 
45.0,45.0,1,45.000,05/08/2021 14:44:52,-6.929,7.144,1153958.936,10.452,6.3 YR 3.70/0.40,9.90, 10.23, 10.39,38.26, 1.40, 2.17,9.38, 9.38, 9.51, 9.51, 9.47, 9.45, 9.45, 9.44, 9.47, 9.52, 9.54, 9.59, 9.61, 9.64, 9.72, 9.77, 9.87, 9.94, 10.00, 10.09, 10.20, 10.32, 10.46, 10.59, 10.69, 10.80, 10.94, 11.08, 11.14, 11.32, 11.45, 11.52, 11.68, 11.89, 12.03, 12.16, 12.26, 12.46, 12.66, 
45.5,45.5,1,45.500,05/08/2021 14:45:10,-5.977,7.471,1153959.000,12.475,7.6 YR 4.00/0.50,11.82, 12.22, 12.20,41.57, 1.45, 2.84,10.77, 10.79, 10.96, 11.00, 11.02, 10.98, 11.02, 11.04, 11.08, 11.18, 11.23, 11.28, 11.30, 11.41, 11.50, 11.62, 11.71, 11.79, 11.94, 12.09, 12.22, 12.37, 12.55, 12.72, 12.82, 12.96, 13.07, 13.27, 13.37, 13.53, 13.68, 13.80, 13.98, 14.19, 14.32, 14.49, 14.69, 14.81, 14.97, 
46.0,46.0,1,46.000,05/08/2021 14:45:36,-11.665,7.338,1153959.135,10.360,8.3 YR 3.70/0.60,9.80, 10.11, 9.84,38.04, 1.52, 3.41,8.75, 8.69, 8.81, 8.86, 8.78, 8.78, 8.84, 8.86, 8.92, 9.01, 9.07, 9.13, 9.15, 9.27, 9.36, 9.46, 9.60, 9.76, 9.85, 9.99, 10.12, 10.26, 10.41, 10.58, 10.68, 10.84, 10.97, 11.13, 11.28, 11.38, 11.55, 11.71, 11.86, 12.09, 12.18, 12.39, 12.53, 12.65, 12.89, 
46.5,46.5,1,46.500,05/08/2021 14:46:01,-17.061,5.088,1153958.936,8.571,7.3 YR 3.40/0.40,8.11, 8.37, 8.39,34.73, 1.40, 2.38,7.66, 7.60, 7.69, 7.70, 7.61, 7.60, 7.64, 7.63, 7.64, 7.67, 7.70, 7.73, 7.76, 7.83, 7.89, 7.96, 8.01, 8.11, 8.14, 8.25, 8.38, 8.43, 8.59, 8.68, 8.75, 8.89, 8.97, 9.13, 9.25, 9.35, 9.51, 9.61, 9.80, 9.92, 10.02, 10.19, 10.29, 10.44, 10.63, 
47.0,47.0,1,47.000,05/08/2021 14:46:27,-21.057,2.045,1153959.136,10.727,6.6 YR 3.80/0.40,10.16, 10.52, 10.69,38.76, 1.22, 2.15,9.87, 9.81, 9.88, 9.89, 9.84, 9.76, 9.76, 9.74, 9.74, 9.78, 9.82, 9.86, 9.86, 9.98, 10.03, 10.06, 10.10, 10.22, 10.36, 10.45, 10.52, 10.61, 10.74, 10.84, 10.92, 11.06, 11.15, 11.29, 11.43, 11.53, 11.65, 11.77, 11.89, 12.13, 12.19, 12.36, 12.50, 12.59, 12.76, 

